n,gamma,k,seed,model,supportSize,exactValue,algValue,ratio,gap,theoryBound,exactTime,algTime
16,0.2,3,3,CVaR-CR-SHP,1,254.020107696135,254.020107696135,1,0,0.5,0.5894956,8.81e-05
16,0.2,3,4,CR-SHP,33,326.767012005439,326.767012005439,1,0,0.5,0.5947977,0.0001697
16,0.2,3,4,CVaR-CR-SHP,1,289.307157026318,289.307157026318,1,0,0.5,0.581098,7.91e-05
16,0.2,3,5,CR-SHP,33,309.422694678031,309.422694678031,1,0,0.5,0.5940825,0.0001589
16,0.2,3,5,CVaR-CR-SHP,1,276.619934663814,276.619934663814,1,0,0.5,0.5820517,7.91e-05
16,0.2,3,6,CR-SHP,33,312.613102225503,312.613102225503,1,0,0.5,0.5811143,0.0001528
16,0.2,3,6,CVaR-CR-SHP,1,268.458069883057,268.458069883057,1,0,0.5,0.5927915,8.06e-05
16,0.2,3,7,CR-SHP,33,316.653546181008,316.653546181008,1,0,0.5,0.6032699,0.0001818
16,0.2,3,7,CVaR-CR-SHP,1,273.324795947227,273.324795947227,1,0,0.5,0.5809956,9.79e-05
16,0.2,3,8,CR-SHP,33,316.394779364154,316.394779364154,1,0,0.5,0.5953006,0.0001846
16,0.2,3,8,CVaR-CR-SHP,1,261.752507444695,261.752507444695,1,0,0.5,0.6032655,8.22e-05
16,0.5,8,1,CR-SHP,33,685.669526202241,685.669526202241,1,0,0.5,1.5664478,0.0002069
16,0.5,8,1,CVaR-CR-SHP,1,593.386062230305,593.386062230305,1,0,0.5,1.0143254,0.0001985
16,0.5,8,2,CR-SHP,33,676.158649786757,674.409303136993,0.997412816281629,0.00258718371837097,0.5,1.5696712,0.000162
16,0.5,8,2,CVaR-CR-SHP,1,599.354928807771,599.354928807771,1,0,0.5,1.0095118,7.93e-05
16,0.5,8,3,CR-SHP,33,710.00328933029,710.00328933029,1,0,0.5,1.5684779,0.0002332
16,0.5,8,3,CVaR-CR-SHP,1,628.735296078628,628.735296078628,1,0,0.5,1.0144688,0.0001034
16,0.5,8,4,CR-SHP,33,778.161458381719,775.503557055563,0.996584383231105,0.00341561676889477,0.5,1.5608906,0.0002002
16,0.5,8,4,CVaR-CR-SHP,1,727.739782974777,727.739782974777,1,0,0.5,1.0487922,7.08e-05
16,0.5,8,5,CR-SHP,33,730.107776274899,728.66142849726,0.998018994147661,0.00198100585233906,0.5,1.5778706,0.0002785
16,0.5,8,5,CVaR-CR-SHP,1,647.523845236084,647.523845236084,1,0,0.5,1.0135503,7.83e-05
16,0.5,8,6,CR-SHP,33,732.287219302565,732.287219302565,1,0,0.5,1.563382,0.0002081
16,0.5,8,6,CVaR-CR-SHP,1,672.494334193924,672.494334193924,1,0,0.5,1.0276153,7.89e-05
16,0.5,8,7,CR-SHP,33,735.032760980207,735.032760980207,1,0,0.5,1.547794,0.0001968
16,0.5,8,7,CVaR-CR-SHP,1,669.852721095413,669.852721095413,1,0,0.5,1.0147145,8.92e-05
16,0.5,8,8,CR-SHP,33,747.457230702473,747.457230702473,1,0,0.5,1.5707427,0.0002277
16,0.5,8,8,CVaR-CR-SHP,1,662.495238983048,662.495238983048,1,0,0.5,1.0990106,0.0001343
16,0.8,12,1,CR-SHP,33,935.721988955428,935.721988955428,1,0,0.75,2.750342,0.0001895
16,0.8,12,1,CVaR-CR-SHP,1,822.190791916947,822.190791916947,1,0,0.75,1.3017514,9.19e-05
16,0.8,12,2,CR-SHP,33,931.693908579634,925.347519324259,0.993188332351502,0.0068116676484979,0.75,2.7875405,0.0002027
16,0.8,12,2,CVaR-CR-SHP,1,845.372142646957,845.372142646957,1,0,0.75,1.3355233,8.61e-05
16,0.8,12,3,CR-SHP,33,971.374713894843,971.374713894843,1,0,0.75,2.683046,0.000219
