n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
100,0.2,20,1,t_copula06,Nominal,2689.78113720037,2416.62824923448,1356.22087751625,1352.04556130473,1203.23393554188,0,201,1,0
100,0.2,20,1,t_copula06,CR-SHP,2095.60727024717,2416.62824923448,1356.22087751625,1352.04556130473,1203.23393554188,0,201,1,0
100,0.2,20,1,t_copula06,CVaR-CR-SHP,1837.52970029379,1837.52970029384,1837.52970029379,1837.52970029379,1837.52970029379,579.09854894064,201,1,20
100,0.2,20,1,t_copula06,Mixed,1980.46821455036,2317.38736229441,1565.07841949525,1563.55004045226,1450.52916649199,99.2408869400692,201,1,6
100,0.2,20,1,adverse,Nominal,2689.78113720037,2095.60727024717,1203.23393554188,1203.23393554188,1203.23393554188,0,201,1,0
100,0.2,20,1,adverse,CR-SHP,2095.60727024717,2095.60727024717,1203.23393554188,1203.23393554188,1203.23393554188,0,201,1,0
100,0.2,20,1,adverse,CVaR-CR-SHP,1837.52970029379,1837.52970029379,1837.52970029379,1837.52970029379,1837.52970029379,258.077569953379,201,1,20
100,0.2,20,1,adverse,Mixed,1980.46821455036,2060.73943571929,1450.52916649199,1450.52916649199,1450.52916649199,34.8678345278836,201,1,6
100,0.2,20,2,independent,Nominal,2693.89828654975,2685.84602331543,2543.35420496348,2557.54054483246,2263.72003872937,0,201,1,0
100,0.2,20,2,independent,CR-SHP,2047.9912013128,2685.84602331543,2543.35420496348,2557.54054483246,2263.72003872937,0,201,1,0
100,0.2,20,2,independent,CVaR-CR-SHP,1766.95732782079,1766.95732782081,1766.9573278208,1766.95732782079,1766.95732782079,918.888695494619,201,1,20
100,0.2,20,2,independent,Mixed,1905.75555236891,2524.38879029752,2414.21197886,2423.79963381948,2175.04197164303,161.45723301791,201,1,5
100,0.2,20,2,gaussian06,Nominal,2693.89828654975,2402.48878267948,1227.90041398559,1223.76450320062,1035.89838996734,0,201,1,0
100,0.2,20,2,gaussian06,CR-SHP,2047.9912013128,2402.48878267948,1227.90041398559,1223.76450320062,1035.89838996734,0,201,1,0
100,0.2,20,2,gaussian06,CVaR-CR-SHP,1766.95732782079,1766.95732782081,1766.9573278208,1766.95732782079,1766.95732782079,635.53145485867,201,1,20
100,0.2,20,2,gaussian06,Mixed,1905.75555236891,2312.89742409022,1436.62981694029,1440.0037134924,1281.5579477345,89.5913585892686,201,1,5
100,0.2,20,2,comonotone,Nominal,2693.89828654975,2044.30161290663,1035.89838996733,1035.89838996734,1035.89838996734,0,201,1,0
100,0.2,20,2,comonotone,CR-SHP,2047.9912013128,2044.30161290663,1035.89838996733,1035.89838996734,1035.89838996734,0,201,1,0
100,0.2,20,2,comonotone,CVaR-CR-SHP,1766.95732782079,1766.95732782081,1766.9573278208,1766.95732782079,1766.95732782079,277.344285085815,201,1,20
100,0.2,20,2,comonotone,Mixed,1905.75555236891,2019.73944094984,1281.5579477345,1281.5579477345,1281.5579477345,24.5621719567919,201,1,5
100,0.2,20,2,t_copula06,Nominal,2693.89828654975,2392.57272605149,1236.60210157802,1225.8056091529,1035.89838996734,0,201,1,0
100,0.2,20,2,t_copula06,CR-SHP,2047.9912013128,2392.57272605149,1236.60210157802,1225.8056091529,1035.89838996734,0,201,1,0
100,0.2,20,2,t_copula06,CVaR-CR-SHP,1766.95732782079,1766.95732782081,1766.9573278208,1766.95732782079,1766.95732782079,625.615398230678,201,1,20
100,0.2,20,2,t_copula06,Mixed,1905.75555236891,2306.65895754533,1445.07076475836,1438.59753899687,1281.5579477345,85.9137685061642,201,1,5
100,0.2,20,2,adverse,Nominal,2693.89828654975,2047.9912013128,1035.89838996734,1035.89838996734,1035.89838996734,0,201,1,0
100,0.2,20,2,adverse,CR-SHP,2047.9912013128,2047.9912013128,1035.89838996734,1035.89838996734,1035.89838996734,0,201,1,0
100,0.2,20,2,adverse,CVaR-CR-SHP,1766.95732782079,1766.95732782079,1766.95732782079,1766.95732782079,1766.95732782079,281.033873492003,201,1,20
100,0.2,20,2,adverse,Mixed,1905.75555236891,2020.28560313228,1281.5579477345,1281.5579477345,1281.5579477345,27.7055981805202,201,1,5
100,0.2,20,3,independent,Nominal,2592.66120459929,2590.41949152151,2454.43688702291,2460.39861272642,2316.02665433964,0,201,1,0
100,0.2,20,3,independent,CR-SHP,2070.77879063784,2590.41949152151,2454.43688702291,2460.39861272642,2316.02665433964,0,201,1,0
100,0.2,20,3,independent,CVaR-CR-SHP,1779.40884662029,1779.40884662025,1779.40884662029,1779.40884662029,1779.40884662029,811.010644901259,201,1,20
100,0.2,20,3,independent,Mixed,1909.93422968291,2349.54461581697,2252.27135998756,2259.19132008617,2157.35327910827,240.874875704546,201,1,8
100,0.2,20,3,gaussian06,Nominal,2592.66120459929,2355.35530166971,1326.24075003409,1324.7489822679,1109.4224730227,0,201,1,0
100,0.2,20,3,gaussian06,CR-SHP,2070.77879063784,2355.35530166971,1326.24075003409,1324.7489822679,1109.4224730227,0,201,1,0
100,0.2,20,3,gaussian06,CVaR-CR-SHP,1779.40884662029,1779.40884662025,1779.40884662029,1779.40884662029,1779.40884662029,575.946455049459,201,1,20
100,0.2,20,3,gaussian06,Mixed,1909.93422968291,2207.83036249359,1605.66910371867,1608.49607699146,1469.94120390205,147.524939176127,201,1,8
100,0.2,20,3,comonotone,Nominal,2592.66120459929,2099.65100804501,1109.4224730227,1109.4224730227,1109.4224730227,0,201,1,0
100,0.2,20,3,comonotone,CR-SHP,2070.77879063784,2099.65100804501,1109.4224730227,1109.4224730227,1109.4224730227,0,201,1,0
100,0.2,20,3,comonotone,CVaR-CR-SHP,1779.40884662029,1779.40884662025,1779.40884662029,1779.40884662029,1779.40884662029,320.242161424759,201,1,20
100,0.2,20,3,comonotone,Mixed,1909.93422968291,2030.92607828029,1469.94120390205,1469.94120390205,1469.94120390205,68.7249297647231,201,1,8
100,0.2,20,3,t_copula06,Nominal,2592.66120459929,2379.78598855522,1330.88917609433,1340.28865737457,1109.4224730227,0,201,1,0
100,0.2,20,3,t_copula06,CR-SHP,2070.77879063784,2379.78598855522,1330.88917609433,1340.28865737457,1109.4224730227,0,201,1,0
100,0.2,20,3,t_copula06,CVaR-CR-SHP,1779.40884662029,1779.40884662025,1779.40884662029,1779.40884662029,1779.40884662029,600.377141934969,201,1,20
100,0.2,20,3,t_copula06,Mixed,1909.93422968291,2225.2002729352,1613.16037558014,1622.13602485141,1469.94120390205,154.585715620021,201,1,8
100,0.2,20,3,adverse,Nominal,2592.66120459929,2070.77879063784,1109.4224730227,1109.4224730227,1109.4224730227,0,201,1,0
100,0.2,20,3,adverse,CR-SHP,2070.77879063784,2070.77879063784,1109.4224730227,1109.4224730227,1109.4224730227,0,201,1,0
100,0.2,20,3,adverse,CVaR-CR-SHP,1779.40884662029,1779.40884662029,1779.40884662029,1779.40884662029,1779.40884662029,291.369944017543,201,1,20
100,0.2,20,3,adverse,Mixed,1909.93422968291,2009.33327160566,1469.94120390205,1469.94120390205,1469.94120390205,61.4455190321755,201,1,8
100,0.2,20,4,independent,Nominal,2705.77122053721,2702.96076059088,2540.99484407724,2555.46351056048,2291.00575127553,0,201,1,0
100,0.2,20,4,independent,CR-SHP,2139.53845757118,2702.96076059088,2540.99484407724,2555.46351056048,2291.00575127553,0,201,1,0
