n,gamma,k,seed,alpha,beta,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,3,0.45,0.7,comonotone,CR-SHP,2700.3831740984,2748.46540699791,1294.8009302751,1294.8009302751,1294.8009302751,0,121,56,0
60,0.5,30,3,0.45,0.7,comonotone,CVaR-CR-SHP,1855.11782628937,2521.9605437171,1518.04582290319,1518.04582290319,1518.04582290319,226.50486328081,121,56,9
60,0.5,30,3,0.45,0.7,comonotone,Mixed,2151.76449323829,2679.33679607475,1392.30171051927,1392.30171051927,1392.30171051927,69.128610923156,121,56,3
60,0.5,30,3,0.45,0.7,t_copula06,Nominal,3277.29914991431,3000.97805107295,1432.79629726227,1411.42170052864,1294.8009302751,0,121,56,0
60,0.5,30,3,0.45,0.7,t_copula06,CR-SHP,2700.3831740984,3000.97805107295,1432.79629726227,1411.42170052864,1294.8009302751,0,121,56,0
60,0.5,30,3,0.45,0.7,t_copula06,CVaR-CR-SHP,1855.11782628937,2721.84867155239,1628.42526404517,1624.61412671789,1518.04582290319,279.129379520563,121,56,9
60,0.5,30,3,0.45,0.7,t_copula06,Mixed,2151.76449323829,2912.04930026703,1518.98124166159,1506.61707836524,1392.30171051927,88.9287508059233,121,56,3
60,0.5,30,3,0.45,0.7,adverse,Nominal,3277.29914991431,2700.3831740984,1294.8009302751,1294.8009302751,1294.8009302751,0,121,56,0
60,0.5,30,3,0.45,0.7,adverse,CR-SHP,2700.3831740984,2700.3831740984,1294.8009302751,1294.8009302751,1294.8009302751,0,121,56,0
60,0.5,30,3,0.45,0.7,adverse,CVaR-CR-SHP,1855.11782628937,2485.53037703553,1518.04582290319,1518.04582290319,1518.04582290319,214.852797062877,121,56,9
60,0.5,30,3,0.45,0.7,adverse,Mixed,2151.76449323829,2634.48976099584,1392.30171051927,1392.30171051927,1392.30171051927,65.8934131025635,121,56,3
60,0.5,30,4,0.45,0.7,independent,Nominal,3366.25304169871,3367.85362401295,3033.18241811239,3052.607640094,2668.93640828235,0,121,59,0
60,0.5,30,4,0.45,0.7,independent,CR-SHP,2814.28220590845,3367.85362401295,3033.18241811239,3052.607640094,2668.93640828235,0,121,59,0
60,0.5,30,4,0.45,0.7,independent,CVaR-CR-SHP,1986.54501466161,3079.52018085862,2825.15404861606,2843.12405685271,2560.08480900004,288.333443154334,121,59,8
60,0.5,30,4,0.45,0.7,independent,Mixed,2271.41157619784,3234.56318176674,2931.20634091032,2951.45702562297,2705.09937474415,133.290442246207,121,59,4
60,0.5,30,4,0.45,0.7,gaussian06,Nominal,3366.25304169871,3082.59640398876,1590.47027866459,1579.33117573849,1386.82028927625,0,121,59,0
60,0.5,30,4,0.45,0.7,gaussian06,CR-SHP,2814.28220590845,3082.59640398876,1590.47027866459,1579.33117573849,1386.82028927625,0,121,59,0
60,0.5,30,4,0.45,0.7,gaussian06,CVaR-CR-SHP,1986.54501466161,2850.98094996299,1760.11160021306,1745.22387049963,1586.6661391384,231.615454025778,121,59,8
60,0.5,30,4,0.45,0.7,gaussian06,Mixed,2271.41157619784,2975.5065417995,1676.89160564972,1668.03900103454,1491.43826001966,107.089862189263,121,59,4
60,0.5,30,4,0.45,0.7,comonotone,Nominal,3366.25304169871,2879.54689516285,1386.82028927625,1386.82028927625,1386.82028927625,0,121,59,0
60,0.5,30,4,0.45,0.7,comonotone,CR-SHP,2814.28220590845,2879.54689516285,1386.82028927625,1386.82028927625,1386.82028927625,0,121,59,0
60,0.5,30,4,0.45,0.7,comonotone,CVaR-CR-SHP,1986.54501466161,2685.40894842299,1586.6661391384,1586.6661391384,1586.6661391384,194.137946739861,121,59,8
60,0.5,30,4,0.45,0.7,comonotone,Mixed,2271.41157619784,2790.8447773038,1491.43826001966,1491.43826001966,1491.43826001966,88.7021178590458,121,59,4
60,0.5,30,4,0.45,0.7,t_copula06,Nominal,3366.25304169871,3050.76155748534,1560.67967446559,1554.94561146897,1386.82028927625,0,121,59,0
60,0.5,30,4,0.45,0.7,t_copula06,CR-SHP,2814.28220590845,3050.76155748534,1560.67967446559,1554.94561146897,1386.82028927625,0,121,59,0
60,0.5,30,4,0.45,0.7,t_copula06,CVaR-CR-SHP,1986.54501466161,2831.08110822811,1732.77318143072,1724.32031500262,1586.6661391384,219.680449257226,121,59,8
60,0.5,30,4,0.45,0.7,t_copula06,Mixed,2271.41157619784,2950.89565498604,1649.12411659514,1646.06921248537,1491.43826001966,99.865902499304,121,59,4
60,0.5,30,4,0.45,0.7,adverse,Nominal,3366.25304169871,2814.28220590845,1386.82028927625,1386.82028927625,1386.82028927625,0,121,59,0
60,0.5,30,4,0.45,0.7,adverse,CR-SHP,2814.28220590845,2814.28220590845,1386.82028927625,1386.82028927625,1386.82028927625,0,121,59,0
