n,gamma,testMode,model,GroupCount,mean_testMean,mean_cvar10,mean_q05,mean_worst,mean_regretToBest,mean_supportCR,mean_supportTail
200,0.5,comonotone,Mixed,10,8936.97920794524,6145.35220790307,6145.35220790307,6145.35220790307,0,401,3.4
200,0.5,comonotone,Nominal,10,8936.97920794524,6145.35220790307,6145.35220790307,6145.35220790307,0,401,3.4
200,0.5,gaussian06,CR-SHP,10,9260.64600057735,6614.53313589583,6622.62535149333,6145.35220790307,0,401,3.4
200,0.5,gaussian06,CVaR-CR-SHP,10,6538.24852466578,6538.24852466576,6538.24852466576,6538.24852466576,2722.39747591157,401,3.4
200,0.5,gaussian06,Mixed,10,9260.64600057735,6614.53313589583,6622.62535149333,6145.35220790307,0,401,3.4
200,0.5,gaussian06,Nominal,10,9260.64600057735,6614.53313589583,6622.62535149333,6145.35220790307,0,401,3.4
200,0.5,independent,CR-SHP,10,9667.24183154939,9330.01904927805,9349.97149235911,8947.07389661406,0,401,3.4
200,0.5,independent,CVaR-CR-SHP,10,6538.24852466578,6538.24852466576,6538.24852466576,6538.24852466576,3128.99330688361,401,3.4
200,0.5,independent,Mixed,10,9667.24183154939,9330.01904927805,9349.97149235911,8947.07389661406,0,401,3.4
200,0.5,independent,Nominal,10,9667.24183154939,9330.01904927805,9349.97149235911,8947.07389661406,0,401,3.4
200,0.5,t_copula06,CR-SHP,10,9292.01170570817,6589.53007811627,6596.36759111652,6145.35220790307,0,401,3.4
200,0.5,t_copula06,CVaR-CR-SHP,10,6538.24852466578,6538.24852466576,6538.24852466576,6538.24852466576,2753.76318104239,401,3.4
200,0.5,t_copula06,Mixed,10,9292.01170570817,6589.53007811627,6596.36759111652,6145.35220790307,0,401,3.4
200,0.5,t_copula06,Nominal,10,9292.01170570817,6589.53007811627,6596.36759111652,6145.35220790307,0,401,3.4
