n,gamma,k,seed,beta,alpha,lambda,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,7,1.05,0.75,0.75,independent,Nominal,3273.04796762673,3280.12872118287,2983.61122608886,3004.72412913937,2707.08226318243,0,121,109,2
60,0.5,30,7,1.05,0.75,0.75,independent,CR-SHP,2833.5270390697,3182.568767742,2980.78887239734,2992.21315504111,2776.99801229139,97.5599534408716,121,109,13
60,0.5,30,7,1.05,0.75,0.75,independent,CVaR-CR-SHP,2730.30293306807,2847.9081992071,2816.99002404368,2819.41100170356,2767.74553385571,432.220521975777,121,109,27
60,0.5,30,7,1.05,0.75,0.75,independent,Mixed,2780.00937287014,3005.24603393068,2918.7308895229,2925.01753075133,2813.36269955394,274.882687252188,121,109,22
60,0.5,30,7,1.05,0.75,0.75,gaussian06,Nominal,3273.04796762673,3027.50991332961,1627.40907716915,1623.96427512158,1421.9261497897,0,121,109,2
60,0.5,30,7,1.05,0.75,0.75,gaussian06,CR-SHP,2833.5270390697,3010.25071708721,2156.78003019454,2160.2178754685,2009.48803658064,17.2591962423999,121,109,13
60,0.5,30,7,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2730.30293306807,2816.70821495269,2665.35050457252,2669.40477864895,2617.59907221572,210.801698376922,121,109,27
60,0.5,30,7,1.05,0.75,0.75,gaussian06,Mixed,2780.00937287014,2916.87012486875,2523.48126375692,2526.96146407288,2438.94466287,110.63978846086,121,109,22
60,0.5,30,7,1.05,0.75,0.75,comonotone,Nominal,3273.04796762673,2802.01329461753,1421.9261497897,1421.9261497897,1421.9261497897,46.5581701383758,121,109,2
60,0.5,30,7,1.05,0.75,0.75,comonotone,CR-SHP,2833.5270390697,2848.5714647559,2009.48803658064,2009.48803658064,2009.48803658064,0,121,109,13
60,0.5,30,7,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2730.30293306807,2768.30403969112,2617.59907221572,2617.59907221572,2617.59907221572,80.2674250647842,121,109,27
60,0.5,30,7,1.05,0.75,0.75,comonotone,Mixed,2780.00937287014,2815.61031412274,2438.94466287,2438.94466287,2438.94466287,32.9611506331607,121,109,22
60,0.5,30,7,1.05,0.75,0.75,t_copula06,Nominal,3273.04796762673,3034.71809678618,1632.97150336108,1627.33406769788,1421.9261497897,0,121,109,2
60,0.5,30,7,1.05,0.75,0.75,t_copula06,CR-SHP,2833.5270390697,3018.81648530319,2156.99678563435,2160.05581013822,2009.48803658064,15.9016114829938,121,109,13
60,0.5,30,7,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2730.30293306807,2818.42775944824,2666.52326838218,2675.53513583764,2617.59907221572,216.290337337941,121,109,27
60,0.5,30,7,1.05,0.75,0.75,t_copula06,Mixed,2780.00937287014,2920.4505054323,2524.67893763848,2527.63991359786,2438.94466287,114.267591353884,121,109,22
60,0.5,30,7,1.05,0.75,0.75,adverse,Nominal,3273.04796762673,2781.62173676003,1421.9261497897,1421.9261497897,1421.9261497897,51.9053023096703,121,109,2
60,0.5,30,7,1.05,0.75,0.75,adverse,CR-SHP,2833.5270390697,2833.5270390697,2009.48803658064,2009.48803658064,2009.48803658064,0,121,109,13
60,0.5,30,7,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2730.30293306807,2765.16091672076,2617.59907221572,2617.59907221572,2617.59907221572,68.3661223489435,121,109,27
60,0.5,30,7,1.05,0.75,0.75,adverse,Mixed,2780.00937287014,2807.99330765302,2438.94466287,2438.94466287,2438.94466287,25.5337314166864,121,109,22
60,0.5,30,8,1.05,0.75,0.75,independent,Nominal,3300.1231214108,3304.85306330898,3029.09935864531,3043.45971549469,2765.96109597963,0,121,111,3
60,0.5,30,8,1.05,0.75,0.75,independent,CR-SHP,2877.64303265633,3175.47544764608,3043.3064172694,3052.36062662461,2891.88505360134,129.377615662894,121,111,18
60,0.5,30,8,1.05,0.75,0.75,independent,CVaR-CR-SHP,2796.86228072754,2888.08745687354,2863.90555784564,2866.21374053855,2832.91973231812,416.765606435436,121,111,28
60,0.5,30,8,1.05,0.75,0.75,independent,Mixed,2841.92660516986,3056.47498682249,2979.2243133562,2985.02347898698,2857.44473183221,248.378076486492,121,111,23
60,0.5,30,8,1.05,0.75,0.75,gaussian06,Nominal,3300.1231214108,3045.2307547997,1691.94537805823,1699.36993947172,1456.91060844098,0,121,111,3
60,0.5,30,8,1.05,0.75,0.75,gaussian06,CR-SHP,2877.64303265633,3038.47086967379,2438.81753102169,2442.55745668486,2307.89238786457,6.75988512591721,121,111,18
60,0.5,30,8,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2796.86228072754,2867.43736884416,2766.03402806925,2774.14082657689,2720.91221125325,177.793385955541,121,111,28
60,0.5,30,8,1.05,0.75,0.75,gaussian06,Mixed,2841.92660516986,2976.93050353863,2630.94681897344,2640.17112314914,2542.70095506993,68.3002512610706,121,111,23
60,0.5,30,8,1.05,0.75,0.75,comonotone,Nominal,3300.1231214108,2773.46690573415,1456.91060844098,1456.91060844098,1456.91060844098,104.361275556168,121,111,3
