n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
200,0.2,40,3,gaussian06,Nominal,4535.21729852111,4243.79798318316,3087.76853408717,3080.02271991937,2907.88569794639,0,401,2,0
200,0.2,40,3,gaussian06,CR-SHP,3959.34799587087,4243.79798318316,3087.76853408717,3080.02271991937,2907.88569794639,0,401,2,0
200,0.2,40,3,gaussian06,CVaR-CR-SHP,2909.37559011812,4243.79798318316,3087.76853408717,3080.02271991937,2907.88569794639,0,401,2,0
200,0.2,40,3,gaussian06,Mixed,3722.29644431962,4243.79798318316,3087.76853408717,3080.02271991937,2907.88569794639,0,401,2,0
200,0.2,40,3,comonotone,Nominal,4535.21729852111,3977.55813284235,2907.8856979464,2907.88569794639,2907.88569794639,0,401,2,0
200,0.2,40,3,comonotone,CR-SHP,3959.34799587087,3977.55813284235,2907.8856979464,2907.88569794639,2907.88569794639,0,401,2,0
200,0.2,40,3,comonotone,CVaR-CR-SHP,2909.37559011812,3977.55813284235,2907.8856979464,2907.88569794639,2907.88569794639,0,401,2,0
200,0.2,40,3,comonotone,Mixed,3722.29644431962,3977.55813284235,2907.8856979464,2907.88569794639,2907.88569794639,0,401,2,0
200,0.2,40,3,t_copula06,Nominal,4535.21729852111,4281.27815625006,3102.4936494954,3100.21995826528,2907.88569794639,0,401,2,0
200,0.2,40,3,t_copula06,CR-SHP,3959.34799587087,4281.27815625006,3102.4936494954,3100.21995826528,2907.88569794639,0,401,2,0
200,0.2,40,3,t_copula06,CVaR-CR-SHP,2909.37559011812,4281.27815625006,3102.4936494954,3100.21995826528,2907.88569794639,0,401,2,0
200,0.2,40,3,t_copula06,Mixed,3722.29644431962,4281.27815625006,3102.4936494954,3100.21995826528,2907.88569794639,0,401,2,0
200,0.2,40,4,independent,Nominal,4617.09043019014,4616.51222529075,4440.07840358238,4448.87208332948,4235.91906549903,0,401,3,0
200,0.2,40,4,independent,CR-SHP,4037.36142245896,4616.51222529075,4440.07840358238,4448.87208332948,4235.91906549903,0,401,3,0
200,0.2,40,4,independent,CVaR-CR-SHP,2901.95333404451,2901.95333404456,2901.95333404451,2901.95333404451,2901.95333404451,1714.55889124619,401,3,40
200,0.2,40,4,independent,Mixed,3728.27959141122,4616.51222529075,4440.07840358238,4448.87208332948,4235.91906549903,0,401,3,0
200,0.2,40,4,gaussian06,Nominal,4617.09043019014,4318.48107244973,3145.82819431132,3154.56897083425,2834.53930365894,0,401,3,0
200,0.2,40,4,gaussian06,CR-SHP,4037.36142245896,4318.48107244973,3145.82819431132,3154.56897083425,2834.53930365894,0,401,3,0
200,0.2,40,4,gaussian06,CVaR-CR-SHP,2901.95333404451,2901.95333404456,2901.95333404451,2901.95333404451,2901.95333404451,1416.52773840518,401,3,40
200,0.2,40,4,gaussian06,Mixed,3728.27959141122,4318.48107244973,3145.82819431132,3154.56897083425,2834.53930365894,0,401,3,0
200,0.2,40,4,comonotone,Nominal,4617.09043019014,4068.40173320721,2834.53930365894,2834.53930365894,2834.53930365894,0,401,3,0
200,0.2,40,4,comonotone,CR-SHP,4037.36142245896,4068.40173320721,2834.53930365894,2834.53930365894,2834.53930365894,0,401,3,0
200,0.2,40,4,comonotone,CVaR-CR-SHP,2901.95333404451,2901.95333404456,2901.95333404451,2901.95333404451,2901.95333404451,1166.44839916265,401,3,40
200,0.2,40,4,comonotone,Mixed,3728.27959141122,4068.40173320721,2834.53930365894,2834.53930365894,2834.53930365894,0,401,3,0
200,0.2,40,4,t_copula06,Nominal,4617.09043019014,4355.46324084654,3146.00236119622,3167.99974095167,2834.53930365894,0,401,3,0
200,0.2,40,4,t_copula06,CR-SHP,4037.36142245896,4355.46324084654,3146.00236119622,3167.99974095167,2834.53930365894,0,401,3,0
200,0.2,40,4,t_copula06,CVaR-CR-SHP,2901.95333404451,2901.95333404456,2901.95333404451,2901.95333404451,2901.95333404451,1453.50990680198,401,3,40
200,0.2,40,4,t_copula06,Mixed,3728.27959141122,4355.46324084654,3146.00236119622,3167.99974095167,2834.53930365894,0,401,3,0
200,0.2,40,5,independent,Nominal,4512.49278773765,4506.18920369309,4335.92600203507,4347.08879402875,4180.26371832017,0,401,4,0
200,0.2,40,5,independent,CR-SHP,3992.84009868862,4506.18920369309,4335.92600203507,4347.08879402875,4180.26371832017,0,401,4,0
200,0.2,40,5,independent,CVaR-CR-SHP,2985.05426641418,4506.18920369309,4335.92600203507,4347.08879402875,4180.26371832017,0,401,4,0
200,0.2,40,5,independent,Mixed,3748.77352707591,4506.18920369309,4335.92600203507,4347.08879402875,4180.26371832017,0,401,4,0
200,0.2,40,5,gaussian06,Nominal,4512.49278773765,4261.46488578608,3196.94409014345,3217.6540502177,2983.28847604432,0,401,4,0
200,0.2,40,5,gaussian06,CR-SHP,3992.84009868862,4261.46488578608,3196.94409014345,3217.6540502177,2983.28847604432,0,401,4,0
200,0.2,40,5,gaussian06,CVaR-CR-SHP,2985.05426641418,4261.46488578608,3196.94409014345,3217.6540502177,2983.28847604432,0,401,4,0
200,0.2,40,5,gaussian06,Mixed,3748.77352707591,4261.46488578608,3196.94409014345,3217.6540502177,2983.28847604432,0,401,4,0
200,0.2,40,5,comonotone,Nominal,4512.49278773765,4017.81398610266,2983.28847604431,2983.28847604432,2983.28847604432,0,401,4,0
200,0.2,40,5,comonotone,CR-SHP,3992.84009868862,4017.81398610266,2983.28847604431,2983.28847604432,2983.28847604432,0,401,4,0
200,0.2,40,5,comonotone,CVaR-CR-SHP,2985.05426641418,4017.81398610266,2983.28847604431,2983.28847604432,2983.28847604432,0,401,4,0
200,0.2,40,5,comonotone,Mixed,3748.77352707591,4017.81398610266,2983.28847604431,2983.28847604432,2983.28847604432,0,401,4,0
200,0.2,40,5,t_copula06,Nominal,4512.49278773765,4282.77565868687,3187.66913922564,3201.91402602696,2983.28847604432,0,401,4,0
200,0.2,40,5,t_copula06,CR-SHP,3992.84009868862,4282.77565868687,3187.66913922564,3201.91402602696,2983.28847604432,0,401,4,0
200,0.2,40,5,t_copula06,CVaR-CR-SHP,2985.05426641418,4282.77565868687,3187.66913922564,3201.91402602696,2983.28847604432,0,401,4,0
200,0.2,40,5,t_copula06,Mixed,3748.77352707591,4282.77565868687,3187.66913922564,3201.91402602696,2983.28847604432,0,401,4,0
200,0.2,40,6,independent,Nominal,4488.71847789454,4496.14750996233,4330.93392940784,4343.73790631751,4140.11733501867,0,401,2,0
200,0.2,40,6,independent,CR-SHP,3960.99166257023,4496.14750996233,4330.93392940784,4343.73790631751,4140.11733501867,0,401,2,0
